23:19:28 | INFO | Tesseract: C:\Program Files\Tesseract-OCR\tesseract.EXE
23:19:28 | INFO | CAP_WIN=(3948, 684, 348, 265) NAME_ROI=(3394, 136, 532, 50) UNION=(3394, 136, 902, 813)
23:19:28 | INFO | [Setup] Ativar mount com tecla '1'
23:19:38 | INFO | [ENCOUNTER] Não-alvo: 'geodude'.
23:19:39 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
23:19:39 | INFO | [NON-TARGET] Repetir fuga (fallback).
23:19:53 | INFO | [ENCOUNTER] Não-alvo: 'staravia'.
23:19:54 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
23:19:54 | INFO | [NON-TARGET] Repetir fuga (fallback).
23:20:12 | INFO | [ENCOUNTER] Não-alvo: 'staravia'.
23:20:13 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
23:20:13 | INFO | [NON-TARGET] Repetir fuga (fallback).
23:20:25 | INFO | [ENCOUNTER] Não-alvo: 'geodude'.
23:20:26 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
23:20:26 | INFO | [NON-TARGET] Repetir fuga (fallback).
23:20:39 | INFO | [ENCOUNTER] Não-alvo: 'bidoof'.
23:20:40 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
23:20:40 | INFO | [NON-TARGET] Repetir fuga (fallback).
23:20:54 | INFO | [ENCOUNTER] Não-alvo: 'geodude'.
23:20:55 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
23:20:55 | INFO | [NON-TARGET] Repetir fuga (fallback).
23:21:08 | INFO | [ENCOUNTER] Não-alvo: 'geodude'.
23:21:09 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
23:21:09 | INFO | [NON-TARGET] Repetir fuga (fallback).
23:21:23 | INFO | [ENCOUNTER] Alvo: 'togepi'
23:21:32 | INFO | [CATCH] Batalha continua. Repetir combo de captura (1/5).
23:21:38 | INFO | [CATCH] Batalha continua. Repetir combo de captura (2/5).
23:21:44 | INFO | [CATCH] Batalha continua. Repetir combo de captura (3/5).
23:21:44 | INFO | Saída solicitada.
